forest_size,forest_structure,tree_probability,fire_spread_probability,num_simulations,avg_steps,avg_percent_burnt
100,hexagonal,0.8,0.1,500,1.478,8.52109216574935e-05
100,hexagonal,0.8,0.2,500,2.318,0.00030989066509196393
100,hexagonal,0.8,0.3,500,3.868,0.0008208509059995822
100,hexagonal,0.8,0.4,500,6.444,0.0020871455635500307
100,hexagonal,0.8,0.5,500,11.9,0.00586119927943858
100,hexagonal,0.8,0.6,500,36.302,0.04064971023764992
100,hexagonal,0.8,0.7,500,141.794,0.46773651222151014
100,hexagonal,0.8,0.8,500,139.514,0.8494388511989478
100,hexagonal,0.8,0.9,500,125.986,0.9325313613324309
100,hexagonal,0.8,1.0,500,119.818,0.9796326335096016
100,hexagonal,0.9,0.1,500,1.714,0.00010716716724086151
100,hexagonal,0.9,0.2,500,2.858,0.00038214942961901086
100,hexagonal,0.9,0.3,500,6.614,0.0017408064827285968
100,hexagonal,0.9,0.4,500,23.136,0.014616400269960493
100,hexagonal,0.9,0.5,500,166.396,0.5955988255169266
100,hexagonal,0.9,0.6,500,133.936,0.9257315469603155
100,hexagonal,0.9,0.7,500,123.376,0.9799450817050781
100,hexagonal,0.9,0.8,500,119.322,0.9958279344014582
100,hexagonal,0.9,0.9,500,115.516,0.9988887492967564
100,hexagonal,0.9,1.0,500,113.716,0.9997665087725203
100,hexagonal,1.0,0.1,500,1.874,0.0001148
100,hexagonal,1.0,0.2,500,4.492,0.0006910000000000001
100,hexagonal,1.0,0.3,500,18.864,0.008736800000000001
100,hexagonal,1.0,0.4,500,145.73,0.786655
100,hexagonal,1.0,0.5,500,127.148,0.9564744000000001
100,hexagonal,1.0,0.6,500,120.296,0.9878356000000001
100,hexagonal,1.0,0.7,500,114.04,0.9987432
100,hexagonal,1.0,0.8,500,113.93,0.9998122
100,hexagonal,1.0,0.9,500,111.896,0.9999846
100,hexagonal,1.0,1.0,500,112.99,1.0
100,hexagonal,1.0,0.31,500,24.652,0.0143004
100,hexagonal,1.0,0.32,500,36.684,0.028076399999999998
100,hexagonal,1.0,0.33,500,54.788,0.054685000000000004
100,hexagonal,1.0,0.34,500,87.618,0.1257672
100,hexagonal,1.0,0.35,500,120.348,0.231402
100,hexagonal,1.0,0.36,500,164.058,0.432628
100,hexagonal,1.0,0.37,500,164.342,0.5772567999999999
100,hexagonal,1.0,0.38,500,162.446,0.6871766
100,hexagonal,1.0,0.39,500,153.49,0.743795
100,hexagonal,1.0,0.41,500,143.534,0.8264962
100,hexagonal,1.0,0.42,500,141.538,0.8645198000000001
100,hexagonal,1.0,0.43,500,137.256,0.8713594
100,hexagonal,1.0,0.44,500,136.264,0.8928955999999998
100,hexagonal,1.0,0.45,500,135.966,0.9198805999999999
100,hexagonal,1.0,0.46,500,132.514,0.9197278
100,hexagonal,1.0,0.47,500,130.552,0.9256294
100,hexagonal,1.0,0.48,500,129.99,0.9407666
100,hexagonal,1.0,0.49,500,128.646,0.9524728
100,hexagonal,1.0,0.51,500,126.154,0.9599784
100,hexagonal,1.0,0.52,500,125.072,0.970842
100,hexagonal,1.0,0.53,500,123.388,0.9612864
100,hexagonal,1.0,0.54,500,122.322,0.9733864000000001
100,hexagonal,1.0,0.55,500,121.498,0.975234
100,hexagonal,1.0,0.56,500,120.564,0.9769738
100,hexagonal,1.0,0.57,500,119.882,0.9824062
100,hexagonal,1.0,0.58,500,117.188,0.9797745999999999
100,hexagonal,1.0,0.59,500,118.754,0.9848568
100,hexagonal,0.9,0.41,500,28.596,0.020173177465295525
100,hexagonal,0.9,0.42,500,29.044,0.02325078104987425
100,hexagonal,0.9,0.43,500,38.826,0.03585640354001851
100,hexagonal,0.9,0.44,500,55.664,0.06782292578488418
100,hexagonal,0.9,0.45,500,75.902,0.11378388307227551
100,hexagonal,0.9,0.46,500,93.466,0.16842751178658869
100,hexagonal,0.9,0.47,500,111.308,0.23468888336963833
100,hexagonal,0.9,0.48,500,131.356,0.3386483329022336
100,hexagonal,0.9,0.49,500,152.634,0.4760222004641742
100,hexagonal,0.9,0.51,500,160.532,0.6637980930434572
100,hexagonal,0.9,0.52,500,155.448,0.7219019127899098
100,hexagonal,0.9,0.53,500,151.5,0.7563734511444107
100,hexagonal,0.9,0.54,500,146.49,0.7908980097747984
100,hexagonal,0.9,0.55,500,145.366,0.8361762653946809
100,hexagonal,0.9,0.56,500,141.286,0.8537781197475577
100,hexagonal,0.9,0.57,500,138.122,0.8658610217365522
100,hexagonal,0.9,0.58,500,136.414,0.8842079810599354
100,hexagonal,0.9,0.59,500,134.464,0.9008476828166984
100,hexagonal,0.8,0.61,500,46.434,0.05648110990383607
100,hexagonal,0.8,0.62,500,48.636,0.06474126225114162
100,hexagonal,0.8,0.63,500,58.654,0.09087737198060554
100,hexagonal,0.8,0.64,500,68.404,0.11425781158648067
100,hexagonal,0.8,0.65,500,81.456,0.15055856988913885
100,hexagonal,0.8,0.66,500,94.194,0.19585924787433398
100,hexagonal,0.8,0.67,500,112.728,0.2643705566811535
100,hexagonal,0.8,0.68,500,115.228,0.3061674584513976
100,hexagonal,0.8,0.69,500,134.342,0.3984538815897174
100,hexagonal,0.8,0.71,500,146.448,0.521298999171391
100,hexagonal,0.8,0.72,500,152.882,0.5805603472513188
100,hexagonal,0.8,0.73,500,157.658,0.6609925290778663
100,hexagonal,0.8,0.74,500,156.846,0.6905327386517752
100,hexagonal,0.8,0.75,500,155.842,0.7518952951038538
