forest_size,forest_structure,tree_probability,fire_spread_probability,num_simulations,avg_steps,avg_percent_burnt
100,rectangular,0.9,0.2,500,2.074,0.00015446400994619265
100,rectangular,0.9,0.3,500,3.134,0.00040394181610404356
100,rectangular,0.9,0.4,500,5.406,0.0010040091121402183
100,rectangular,0.9,0.5,500,11.866,0.0036772100297895087
100,rectangular,0.9,0.51,500,11.856,0.0037323004557372193
100,rectangular,0.9,0.52,500,14.184,0.0051386365618759115
100,rectangular,0.9,0.51,500,11.572,0.003741595582580838
100,rectangular,0.9,0.53,500,15.468,0.006053959972872946
100,rectangular,0.9,0.54,500,17.076,0.006794864015953329
100,rectangular,0.9,0.55,500,20.342,0.009496154810609152
100,rectangular,0.9,0.56,500,23.266,0.011759821319873817
100,rectangular,0.9,0.57,500,29.94,0.018004426249628086
100,rectangular,0.9,0.58,500,32.756,0.021548962446686915
100,rectangular,0.9,0.59,500,43.284,0.034451282945676995
100,rectangular,0.9,0.6,500,45.454,0.04089718608709792
100,rectangular,0.9,0.61,500,70.1,0.07582120871271908
100,rectangular,0.9,0.62,500,87.458,0.11622877188928793
100,rectangular,0.9,0.61,500,67.942,0.07514917096826644
100,rectangular,0.9,0.63,500,102.124,0.1627572939103057
100,rectangular,0.9,0.64,500,147.828,0.2948908530182938
100,rectangular,0.9,0.65,500,170.29,0.4030503219486196
100,rectangular,0.9,0.66,500,178.768,0.49485763143979816
100,rectangular,0.9,0.67,500,183.476,0.6025902021493896
100,rectangular,0.9,0.68,500,184.448,0.678314291374197
100,rectangular,0.9,0.69,500,177.896,0.7219320416520894
100,rectangular,0.9,0.7,500,170.138,0.7603987159161015
100,rectangular,0.9,0.8,500,153.852,0.9490985473157455
100,rectangular,1.0,0.2,500,2.458,0.0002156
100,rectangular,1.0,0.3,500,4.438,0.0006603999999999999
100,rectangular,1.0,0.4,500,11.796,0.0034530000000000003
100,rectangular,1.0,0.5,500,129.396,0.220874
100,rectangular,1.0,0.51,500,171.088,0.37177020000000005
100,rectangular,1.0,0.52,500,188.114,0.5271134
100,rectangular,1.0,0.51,500,161.714,0.3460368
100,rectangular,1.0,0.53,500,179.268,0.6050974
100,rectangular,1.0,0.54,500,180.296,0.7096560000000001
100,rectangular,1.0,0.55,500,174.31,0.7655774
100,rectangular,1.0,0.56,500,170.4,0.8090705999999999
100,rectangular,1.0,0.57,500,165.486,0.8339654000000001
100,rectangular,1.0,0.58,500,158.44,0.8541766
100,rectangular,1.0,0.59,500,160.032,0.8898453999999999
100,rectangular,1.0,0.6,500,156.324,0.8961890000000001
100,rectangular,1.0,0.61,500,153.44,0.9078204
100,rectangular,1.0,0.62,500,152.096,0.924086
100,rectangular,1.0,0.61,500,155.506,0.9139292
100,rectangular,1.0,0.63,500,151.746,0.9303596
100,rectangular,1.0,0.64,500,151.452,0.9476688
100,rectangular,1.0,0.65,500,149.548,0.9400795999999999
100,rectangular,1.0,0.66,500,149.806,0.9516838
100,rectangular,1.0,0.67,500,150.756,0.9668064
100,rectangular,1.0,0.68,500,149.432,0.9677034
100,rectangular,1.0,0.69,500,150.056,0.9723769999999999
100,rectangular,1.0,0.7,500,150.834,0.974546
100,rectangular,1.0,0.8,500,151.108,0.9956955999999999
100,rectangular,1.0,0.41,500,13.264,0.004297799999999999
100,rectangular,1.0,0.42,500,15.996,0.0057048
100,rectangular,1.0,0.43,500,19.034,0.0073636
100,rectangular,1.0,0.44,500,24.286,0.011509799999999999
100,rectangular,1.0,0.45,500,28.908,0.0150748
100,rectangular,1.0,0.46,500,34.164,0.020971600000000003
100,rectangular,1.0,0.47,500,44.774,0.0335858
100,rectangular,1.0,0.48,500,64.222,0.060297399999999994
100,rectangular,1.0,0.49,500,88.458,0.11673579999999999
100,rectangular,0.9,0.71,500,167.504,0.8039998804307629
100,rectangular,0.9,0.72,500,163.81,0.8224267605093082
100,rectangular,0.9,0.73,500,164.378,0.8694312052539392
100,rectangular,0.9,0.74,500,161.262,0.8801072241523127
100,rectangular,0.9,0.75,500,158.53,0.880122440005561
100,rectangular,0.9,0.76,500,156.862,0.896493814804129
100,rectangular,0.9,0.77,500,154.56,0.9130670748127415
100,rectangular,0.9,0.78,500,153.526,0.9184627613552245
100,rectangular,0.9,0.79,500,153.286,0.940670986310975
100,rectangular,0.9,0.1,500,1.372,4.625878520883221e-05
100,rectangular,0.9,0.9,500,148.81,0.9788691552294474
100,rectangular,1.0,0.1,500,1.488,5.84e-05
100,rectangular,1.0,0.9,500,152.128,0.999847
100,rectangular,0.8,0.1,500,1.368,5.201645462170639e-05
100,rectangular,0.8,0.2,500,1.78,0.0001224992888300355
100,rectangular,0.8,0.3,500,2.498,0.00027303828267854834
100,rectangular,0.8,0.4,500,3.324,0.0004856845210897229
100,rectangular,0.8,0.5,500,5.32,0.0010920796233274586
100,rectangular,0.8,0.5,500,5.134,0.0010149591902519726
100,rectangular,0.8,0.6,500,8.534,0.002474616845835761
100,rectangular,0.8,0.7,500,16.854,0.007705902552591011
100,rectangular,0.8,0.8,500,71.982,0.09007078756537995
100,rectangular,0.8,0.9,500,179.854,0.7046996322924185
100,rectangular,0.8,0.81,500,79.108,0.11184872026679148
100,rectangular,0.8,0.82,500,98.98,0.15404569489237968
100,rectangular,0.8,0.83,500,114.598,0.21545839124363633
100,rectangular,0.8,0.84,500,133.792,0.2739857260495463
100,rectangular,0.8,0.85,500,150.332,0.36351953984125557
100,rectangular,0.8,0.86,500,166.928,0.45074830236329955
100,rectangular,0.8,0.87,500,175.66,0.5091695825415056
100,rectangular,0.8,0.88,500,181.4,0.6003698190760117
100,rectangular,0.8,0.89,500,178.89,0.6500562430722275
100,rectangular,0.8,0.91,500,176.31,0.7364588620423433
